    Xbj          Ratio            XS1            XS2      Ratio_Err        XS_Err1        XS_Err2
0.62458   9.830589e-01   2.204790e-02   7.475950e-03   8.790437e-03   7.212441e-05   6.221538e-05
0.63303   9.651350e-01   2.143790e-02   7.404110e-03   8.333729e-03   6.776906e-05   5.949439e-05
0.64150   9.763198e-01   2.063950e-02   7.046700e-03   8.260011e-03   6.408503e-05   5.545746e-05
0.65000   9.894322e-01   1.973110e-02   6.647280e-03   8.293871e-03   6.065024e-05   5.183901e-05
0.65848   9.610228e-01   1.907150e-02   6.615000e-03   7.917591e-03   5.808130e-05   5.063895e-05
0.66693   9.643389e-01   1.816560e-02   6.279120e-03   7.943632e-03   5.511025e-05   4.808789e-05
0.67540   9.921164e-01   1.737700e-02   5.838360e-03   8.263720e-03   5.284641e-05   4.527269e-05
0.68389   9.714552e-01   1.646780e-02   5.650560e-03   8.092139e-03   5.026944e-05   4.379427e-05
0.69239   9.720163e-01   1.572500e-02   5.392570e-03   8.226218e-03   4.873240e-05   4.246768e-05
0.70086   9.827368e-01   1.514490e-02   5.136980e-03   8.516451e-03   4.802539e-05   4.142995e-05
0.70934   9.675141e-01   1.434750e-02   4.943080e-03   8.677650e-03   4.705162e-05   4.126468e-05
0.71778   9.770126e-01   1.367640e-02   4.666060e-03   9.030420e-03   4.633674e-05   4.012592e-05
0.72628   9.972573e-01   1.314860e-02   4.394920e-03   9.547172e-03   4.592819e-05   3.917386e-05
0.73473   9.827269e-01   1.249330e-02   4.237630e-03   9.635640e-03   4.508782e-05   3.863303e-05
0.74323   9.839001e-01   1.160650e-02   3.932140e-03   1.007791e-02   4.320926e-05   3.752170e-05
0.75169   1.018992e+00   1.114430e-02   3.645530e-03   1.087953e-02   4.290477e-05   3.630390e-05
0.76014   9.965640e-01   1.077240e-02   3.603180e-03   1.082191e-02   4.269824e-05   3.642815e-05
0.76859   9.969200e-01   9.972600e-03   3.334470e-03   1.127059e-02   4.100693e-05   3.511564e-05
0.77709   9.958147e-01   9.481700e-03   3.173850e-03   1.161513e-02   4.023180e-05   3.448325e-05
0.78553   9.808222e-01   9.128150e-03   3.102210e-03   1.167725e-02   3.988892e-05   3.435573e-05
0.79402   9.776909e-01   8.490630e-03   2.894790e-03   1.214562e-02   3.857658e-05   3.346985e-05
0.80250   9.648113e-01   8.154750e-03   2.817390e-03   1.221034e-02   3.821667e-05   3.312124e-05
0.81096   1.010389e+00   7.780490e-03   2.566830e-03   1.342003e-02   3.756592e-05   3.176041e-05
0.81941   9.777239e-01   7.254350e-03   2.473210e-03   1.344827e-02   3.642395e-05   3.167069e-05
0.82790   9.982952e-01   6.892850e-03   2.301540e-03   1.450231e-02   3.615424e-05   3.117919e-05
0.83637   9.920693e-01   6.629980e-03   2.227660e-03   1.495107e-02   3.656003e-05   3.124405e-05
0.84483   9.785963e-01   6.243220e-03   2.126590e-03   1.550572e-02   3.633186e-05   3.134062e-05
0.85332   1.016450e+00   5.963340e-03   1.955610e-03   1.726378e-02   3.679297e-05   3.094577e-05
0.86179   1.016900e+00   5.664450e-03   1.856770e-03   1.847401e-02   3.701135e-05   3.147467e-05
0.87023   9.911052e-01   5.320600e-03   1.789450e-03   1.887836e-02   3.700648e-05   3.173142e-05
0.87870   9.992824e-01   5.111330e-03   1.705000e-03   2.025182e-02   3.796491e-05   3.214982e-05
0.88715   1.009467e+00   4.800530e-03   1.585170e-03   2.222967e-02   3.818390e-05   3.255067e-05
0.89562   9.908863e-01   4.601290e-03   1.547870e-03   2.321404e-02   3.911419e-05   3.379140e-05
0.90406   9.216418e-01   4.263930e-03   1.542150e-03   2.267675e-02   3.940865e-05   3.516549e-05
0.91254   9.917241e-01   4.088750e-03   1.374290e-03   2.725082e-02   4.088546e-05   3.517385e-05
0.92104   9.290684e-01   3.822680e-03   1.371510e-03   2.698046e-02   4.120658e-05   3.698359e-05
0.87657   9.851081e-01   4.979840e-03   1.685040e-03   6.891758e-03   1.871972e-05   9.942073e-06
0.89236   9.818837e-01   4.652450e-03   1.579430e-03   6.727355e-03   1.719462e-05   9.112048e-06
0.90816   9.805637e-01   4.210090e-03   1.431180e-03   6.726896e-03   1.558436e-05   8.266281e-06
0.92396   9.743078e-01   3.846100e-03   1.315840e-03   6.761347e-03   1.443968e-05   7.679742e-06
0.93974   9.546822e-01   3.476380e-03   1.213800e-03   6.741196e-03   1.339414e-05   7.182540e-06
0.95551   9.585142e-01   3.177360e-03   1.104960e-03   6.962953e-03   1.253119e-05   6.740797e-06
0.97132   9.461069e-01   2.895570e-03   1.020170e-03   7.083409e-03   1.185061e-05   6.395721e-06
0.98715   9.313950e-01   2.615120e-03   9.359150e-04   7.352794e-03   1.134081e-05   6.173848e-06
1.00294   9.578783e-01   2.401040e-03   8.355410e-04   8.113863e-03   1.104925e-05   5.942042e-06
1.01874   9.495051e-01   2.138600e-03   7.507770e-04   8.528014e-03   1.044255e-05   5.659552e-06
1.03447   9.696926e-01   1.957830e-03   6.730070e-04   9.340197e-03   1.018600e-05   5.455496e-06
1.05027   9.826767e-01   1.747050e-03   5.926160e-04   1.013542e-02   9.740607e-06   5.142283e-06
1.06606   1.012681e+00   1.577710e-03   5.193180e-04   1.127339e-02   9.339033e-06   4.896140e-06
