    Xbj          Ratio            XS1            XS2      Ratio_Err        XS_Err1        XS_Err2
0.62458   8.865898e-01   7.475950e-03   6.324190e-03   1.174941e-02   6.221538e-05   6.522453e-05
0.63303   9.042960e-01   7.404110e-03   6.140780e-03   1.166729e-02   5.949439e-05   6.198749e-05
0.64150   8.887294e-01   7.046700e-03   5.946720e-03   1.115807e-02   5.545746e-05   5.817260e-05
0.65000   8.783342e-01   6.647280e-03   5.676040e-03   1.088534e-02   5.183901e-05   5.467105e-05
0.65848   8.981199e-01   6.615000e-03   5.524040e-03   1.100571e-02   5.063895e-05   5.285871e-05
0.66693   8.827171e-01   6.279120e-03   5.335050e-03   1.075488e-02   4.808789e-05   5.055509e-05
0.67540   8.922281e-01   5.838360e-03   4.907680e-03   1.105915e-02   4.527269e-05   4.745643e-05
0.68389   8.854309e-01   5.650560e-03   4.786280e-03   1.093545e-02   4.379427e-05   4.602401e-05
0.69239   8.875295e-01   5.392570e-03   4.556950e-03   1.114438e-02   4.246768e-05   4.456729e-05
0.70086   8.786089e-01   5.136980e-03   4.385040e-03   1.126727e-02   4.142995e-05   4.372082e-05
0.70934   8.803620e-01   4.943080e-03   4.211120e-03   1.169435e-02   4.126468e-05   4.351224e-05
0.71778   8.756503e-01   4.666060e-03   3.996510e-03   1.196725e-02   4.012592e-05   4.245093e-05
0.72628   8.765460e-01   4.394920e-03   3.760430e-03   1.243707e-02   3.917386e-05   4.151327e-05
0.73473   8.990220e-01   4.237630e-03   3.535200e-03   1.313914e-02   3.863303e-05   4.038224e-05
0.74323   8.808557e-01   3.932140e-03   3.348000e-03   1.338764e-02   3.752170e-05   3.960517e-05
0.75169   8.654474e-01   3.645530e-03   3.159230e-03   1.365911e-02   3.630390e-05   3.868256e-05
0.76014   9.181137e-01   3.603180e-03   2.943410e-03   1.501063e-02   3.642815e-05   3.781929e-05
0.76859   8.944138e-01   3.334470e-03   2.796080e-03   1.508662e-02   3.511564e-05   3.684171e-05
0.77709   9.043029e-01   3.173850e-03   2.632290e-03   1.581231e-02   3.448325e-05   3.606369e-05
0.78553   9.190100e-01   3.102210e-03   2.531700e-03   1.644917e-02   3.435573e-05   3.559899e-05
0.79402   9.060451e-01   2.894790e-03   2.396230e-03   1.685417e-02   3.346985e-05   3.491834e-05
0.80250   9.465001e-01   2.817390e-03   2.232480e-03   1.815864e-02   3.312124e-05   3.384708e-05
0.81096   9.209262e-01   2.566830e-03   2.090420e-03   1.843269e-02   3.176041e-05   3.288774e-05
0.81941   9.091614e-01   2.473210e-03   2.040240e-03   1.871095e-02   3.167069e-05   3.287092e-05
0.82790   9.295746e-01   2.301540e-03   1.856930e-03   2.044658e-02   3.117919e-05   3.217818e-05
0.83637   9.486563e-01   2.227660e-03   1.761170e-03   2.172554e-02   3.124405e-05   3.188440e-05
0.84483   9.608493e-01   2.126590e-03   1.659930e-03   2.322928e-02   3.134062e-05   3.181156e-05
0.85332   9.242188e-01   1.955610e-03   1.586970e-03   2.363962e-02   3.094577e-05   3.189096e-05
0.86179   9.128364e-01   1.856770e-03   1.525550e-03   2.488052e-02   3.147467e-05   3.256103e-05
0.87023   9.233171e-01   1.789450e-03   1.453550e-03   2.639469e-02   3.173142e-05   3.259208e-05
0.87870   9.203083e-01   1.705000e-03   1.389480e-03   2.789709e-02   3.214982e-05   3.297806e-05
0.88715   9.036358e-01   1.585170e-03   1.315660e-03   2.962803e-02   3.255067e-05   3.362945e-05
0.89562   9.025200e-01   1.547870e-03   1.286290e-03   3.137757e-02   3.379140e-05   3.480431e-05
0.90406   1.014172e+00   1.542150e-03   1.140450e-03   3.840940e-02   3.516549e-05   3.448550e-05
0.91254   9.992026e-01   1.374290e-03   1.031540e-03   4.223677e-02   3.517385e-05   3.470224e-05
0.92104   9.370115e-01   1.371510e-03   1.097780e-03   4.069382e-02   3.698359e-05   3.737238e-05
0.87657   9.616345e-01   1.685040e-03   1.314200e-03   8.937161e-03   9.942073e-06   9.436731e-06
0.89236   9.651071e-01   1.579430e-03   1.227400e-03   8.727945e-03   9.112048e-06   8.547957e-06
0.90816   9.319601e-01   1.431180e-03   1.151750e-03   8.301949e-03   8.266281e-06   7.810950e-06
0.92396   9.288719e-01   1.315840e-03   1.062450e-03   8.345246e-03   7.679742e-06   7.256927e-06
0.93974   9.113069e-01   1.213800e-03   9.989500e-04   8.241689e-03   7.182540e-06   6.832039e-06
0.95551   8.598331e-01   1.104960e-03   9.638150e-04   7.871107e-03   6.740797e-06   6.578269e-06
0.97132   8.253028e-01   1.020170e-03   9.270870e-04   7.656295e-03   6.395721e-06   6.339412e-06
0.98715   7.961358e-01   9.359150e-04   8.816790e-04   7.697268e-03   6.173848e-06   6.231963e-06
1.00294   7.679558e-01   8.355410e-04   8.160050e-04   7.934556e-03   5.942042e-06   6.116023e-06
1.01874   7.577901e-01   7.507770e-04   7.430590e-04   8.269445e-03   5.659552e-06   5.863062e-06
1.03447   7.619511e-01   6.730070e-04   6.624510e-04   8.973705e-03   5.455496e-06   5.659769e-06
1.05027   8.128227e-01   5.926160e-04   5.468130e-04   1.050133e-02   5.142283e-06   5.234028e-06
1.06606   8.222244e-01   5.193180e-04   4.737010e-04   1.162213e-02   4.896140e-06   4.988735e-06
1.08190   8.720875e-01   4.577250e-04   3.936460e-04   1.354348e-02   4.635244e-06   4.634827e-06
1.09763   9.346176e-01   3.977720e-04   3.191990e-04   1.653868e-02   4.432930e-06   4.387550e-06
1.11341   9.722996e-01   3.504090e-04   2.702940e-04   1.861051e-02   4.173967e-06   4.049707e-06
1.12922   1.035668e+00   2.952910e-04   2.138410e-04   2.260632e-02   3.889750e-06   3.721903e-06
1.14497   1.074264e+00   2.592900e-04   1.810240e-04   2.528910e-02   3.637320e-06   3.422204e-06
1.16075   1.094550e+00   2.248060e-04   1.540400e-04   2.878654e-02   3.470015e-06   3.280097e-06
1.17654   1.197403e+00   1.913210e-04   1.198350e-04   3.550168e-02   3.199327e-06   2.933932e-06
1.19233   1.243706e+00   1.618680e-04   9.761230e-05   4.252010e-02   3.027304e-06   2.793586e-06
1.20813   1.341578e+00   1.427630e-04   7.981070e-05   5.237898e-02   2.917362e-06   2.655134e-06
1.22392   1.276459e+00   1.206410e-04   7.088420e-05   5.129155e-02   2.643715e-06   2.387472e-06
