#A1  A2    E0    Theta     Nu       x    Ratio1   R_err  Ratio2   excess   sig_p     sig_n
  4   9   5.766  18.000   0.526   2.997   1.256   0.251   1.186   0.013  0.170E-02  0.562E-03
  4   9   5.766  18.000   0.556   2.819   1.840   0.265   1.738   0.013  0.172E-02  0.571E-03
  4   9   5.766  18.000   0.586   2.659   1.751   0.169   1.653   0.013  0.175E-02  0.580E-03
  4   9   5.766  18.000   0.616   2.515   1.500   0.092   1.416   0.013  0.178E-02  0.590E-03
  4   9   5.766  18.000   0.646   2.384   1.246   0.059   1.176   0.013  0.181E-02  0.600E-03
  4   9   5.766  18.000   0.676   2.265   1.210   0.038   1.142   0.013  0.184E-02  0.610E-03
  4   9   5.766  18.000   0.706   2.156   1.183   0.032   1.116   0.013  0.187E-02  0.620E-03
  4   9   5.766  18.000   0.736   2.056   1.153   0.027   1.089   0.013  0.190E-02  0.630E-03
  4   9   5.766  18.000   0.766   1.963   1.124   0.022   1.062   0.013  0.194E-02  0.640E-03
  4   9   5.766  18.000   0.796   1.878   1.102   0.014   1.041   0.013  0.197E-02  0.651E-03
  4   9   5.766  18.000   0.826   1.799   1.117   0.013   1.055   0.013  0.200E-02  0.662E-03
  4   9   5.766  18.000   0.856   1.725   1.132   0.012   1.069   0.013  0.204E-02  0.673E-03
  4   9   5.766  18.000   0.886   1.657   1.132   0.009   1.069   0.013  0.207E-02  0.685E-03
  4   9   5.766  18.000   0.946   1.533   1.109   0.007   1.047   0.013  0.214E-02  0.708E-03
  4   9   5.766  18.000   0.976   1.476   1.148   0.004   1.083   0.013  0.218E-02  0.720E-03
  4   9   5.766  18.000   1.006   1.423   1.128   0.005   1.065   0.013  0.222E-02  0.733E-03
  4   9   5.766  18.000   1.036   1.373   1.019   0.004   0.962   0.013  0.226E-02  0.745E-03
  4   9   5.766  18.000   1.066   1.326   1.213   0.024   1.145   0.013  0.230E-02  0.758E-03
  4   9   5.766  18.000   1.096   1.282   1.051   0.003   0.992   0.013  0.234E-02  0.772E-03
  4   9   5.766  18.000   1.126   1.240   1.056   0.002   0.997   0.013  0.238E-02  0.785E-03
  4   9   5.766  18.000   1.156   1.200   1.040   0.016   0.981   0.013  0.242E-02  0.799E-03
  4   9   5.766  18.000   1.186   1.162   1.031   0.013   0.973   0.013  0.246E-02  0.813E-03
  4   9   5.766  18.000   1.216   1.126   1.005   0.014   0.949   0.013  0.251E-02  0.828E-03
  4   9   5.766  18.000   1.246   1.091   0.998   0.010   0.942   0.013  0.255E-02  0.842E-03
  4   9   5.766  18.000   1.276   1.058   1.015   0.009   0.958   0.013  0.260E-02  0.857E-03
  4   9   5.766  18.000   1.306   1.027   0.936   0.009   0.884   0.013  0.265E-02  0.873E-03
  4   9   5.766  18.000   1.336   0.997   0.933   0.008   0.881   0.013  0.270E-02  0.889E-03
  4   9   5.766  18.000   1.366   0.969   0.947   0.006   0.894   0.013  0.275E-02  0.905E-03
  4   9   5.766  18.000   1.396   0.942   0.957   0.007   0.903   0.013  0.280E-02  0.921E-03
  4   9   5.766  18.000   1.426   0.915   0.971   0.007   0.916   0.013  0.285E-02  0.938E-03
  4   9   5.766  18.000   1.456   0.890   0.998   0.007   0.943   0.013  0.290E-02  0.955E-03
  4   9   5.766  18.000   1.486   0.866   1.005   0.005   0.948   0.013  0.295E-02  0.973E-03
  4   9   5.766  18.000   1.516   0.843   1.020   0.006   0.963   0.013  0.301E-02  0.991E-03
  4   9   5.766  18.000   1.546   0.821   1.020   0.006   0.963   0.013  0.307E-02  0.101E-02
  4   9   5.766  18.000   1.576   0.800   1.037   0.006   0.979   0.013  0.312E-02  0.103E-02
  4   9   5.766  18.000   1.606   0.779   1.035   0.006   0.977   0.013  0.318E-02  0.105E-02
  4   9   5.766  18.000   1.636   0.759   1.050   0.008   0.991   0.013  0.324E-02  0.107E-02
  4   9   5.766  18.000   1.666   0.740   1.041   0.008   0.982   0.013  0.331E-02  0.109E-02
  4   9   5.766  18.000   1.696   0.722   1.028   0.005   0.970   0.013  0.337E-02  0.111E-02
  4   9   5.766  18.000   1.726   0.704   1.027   0.005   0.970   0.013  0.343E-02  0.113E-02
  4   9   5.766  18.000   1.756   0.687   1.032   0.005   0.974   0.013  0.350E-02  0.115E-02
  4   9   5.766  18.000   1.786   0.670   1.036   0.006   0.978   0.013  0.357E-02  0.117E-02
  4   9   5.766  18.000   1.816   0.654   1.020   0.008   0.962   0.013  0.364E-02  0.120E-02
  4   9   5.766  18.000   1.846   0.639   0.998   0.007   0.941   0.013  0.371E-02  0.122E-02
  4   9   5.766  18.000   1.876   0.624   1.011   0.006   0.955   0.013  0.378E-02  0.124E-02
  4   9   5.766  18.000   1.906   0.609   1.026   0.007   0.968   0.013  0.386E-02  0.127E-02
  4   9   5.766  18.000   1.936   0.595   1.014   0.006   0.957   0.013  0.394E-02  0.129E-02
  4   9   5.766  18.000   1.966   0.581   1.032   0.005   0.974   0.013  0.401E-02  0.132E-02
  4   9   5.766  18.000   1.996   0.568   1.034   0.006   0.976   0.013  0.410E-02  0.134E-02
  4   9   5.766  18.000   2.026   0.555   1.027   0.005   0.970   0.013  0.418E-02  0.137E-02
  4   9   5.766  18.000   2.056   0.543   1.033   0.005   0.975   0.013  0.426E-02  0.140E-02
  4   9   5.766  18.000   2.086   0.531   1.031   0.006   0.973   0.013  0.435E-02  0.143E-02
  4   9   5.766  18.000   2.116   0.519   1.028   0.006   0.970   0.013  0.444E-02  0.146E-02
  4   9   5.766  18.000   2.146   0.507   1.035   0.004   0.977   0.013  0.453E-02  0.149E-02
  4   9   5.766  18.000   2.176   0.496   1.039   0.005   0.980   0.013  0.463E-02  0.152E-02
  4   9   5.766  18.000   2.206   0.485   1.025   0.004   0.967   0.013  0.472E-02  0.155E-02
  4   9   5.766  18.000   2.236   0.475   1.041   0.006   0.982   0.013  0.482E-02  0.158E-02
  4   9   5.766  18.000   2.266   0.465   1.038   0.006   0.980   0.013  0.492E-02  0.161E-02
  4   9   5.766  18.000   2.296   0.455   1.047   0.006   0.988   0.013  0.503E-02  0.165E-02
  4   9   5.766  18.000   2.326   0.445   1.043   0.005   0.984   0.013  0.513E-02  0.168E-02
  4   9   5.766  18.000   2.356   0.435   1.039   0.008   0.980   0.013  0.524E-02  0.172E-02
  4  12   5.766  18.000   0.526   2.997   2.989   0.558   2.989   0.007  0.170E-02  0.562E-03
  4  12   5.766  18.000   0.556   2.819   3.259   0.444   3.259   0.007  0.172E-02  0.571E-03
  4  12   5.766  18.000   0.586   2.659   2.618   0.247   2.618   0.007  0.175E-02  0.580E-03
  4  12   5.766  18.000   0.616   2.515   1.953   0.119   1.953   0.007  0.178E-02  0.590E-03
  4  12   5.766  18.000   0.646   2.384   1.635   0.078   1.635   0.007  0.181E-02  0.600E-03
  4  12   5.766  18.000   0.676   2.265   1.630   0.052   1.630   0.007  0.184E-02  0.610E-03
  4  12   5.766  18.000   0.706   2.156   1.476   0.040   1.476   0.007  0.187E-02  0.620E-03
  4  12   5.766  18.000   0.736   2.056   1.325   0.033   1.325   0.007  0.190E-02  0.630E-03
  4  12   5.766  18.000   0.766   1.963   1.372   0.027   1.372   0.007  0.194E-02  0.640E-03
  4  12   5.766  18.000   0.796   1.878   1.304   0.017   1.304   0.007  0.197E-02  0.651E-03
  4  12   5.766  18.000   0.826   1.799   1.296   0.016   1.296   0.007  0.200E-02  0.662E-03
  4  12   5.766  18.000   0.856   1.725   1.303   0.014   1.303   0.007  0.204E-02  0.673E-03
  4  12   5.766  18.000   0.886   1.657   1.303   0.011   1.303   0.007  0.207E-02  0.685E-03
  4  12   5.766  18.000   0.946   1.533   1.284   0.009   1.284   0.007  0.214E-02  0.708E-03
  4  12   5.766  18.000   0.976   1.476   1.328   0.005   1.328   0.007  0.218E-02  0.720E-03
  4  12   5.766  18.000   1.006   1.423   1.299   0.006   1.299   0.007  0.222E-02  0.733E-03
  4  12   5.766  18.000   1.036   1.373   1.179   0.005   1.179   0.007  0.226E-02  0.745E-03
  4  12   5.766  18.000   1.066   1.326   1.330   0.015   1.330   0.007  0.230E-02  0.758E-03
  4  12   5.766  18.000   1.096   1.282   1.155   0.003   1.155   0.007  0.234E-02  0.772E-03
  4  12   5.766  18.000   1.126   1.240   1.166   0.003   1.166   0.007  0.238E-02  0.785E-03
  4  12   5.766  18.000   1.156   1.200   1.058   0.014   1.058   0.007  0.242E-02  0.799E-03
  4  12   5.766  18.000   1.186   1.162   1.003   0.011   1.003   0.007  0.246E-02  0.813E-03
  4  12   5.766  18.000   1.216   1.126   0.965   0.011   0.965   0.007  0.251E-02  0.828E-03
  4  12   5.766  18.000   1.246   1.091   0.948   0.008   0.948   0.007  0.255E-02  0.842E-03
  4  12   5.766  18.000   1.276   1.058   0.942   0.007   0.942   0.007  0.260E-02  0.857E-03
  4  12   5.766  18.000   1.306   1.027   0.860   0.007   0.860   0.007  0.265E-02  0.873E-03
  4  12   5.766  18.000   1.336   0.997   0.857   0.007   0.857   0.007  0.270E-02  0.889E-03
  4  12   5.766  18.000   1.366   0.969   0.884   0.005   0.884   0.007  0.275E-02  0.905E-03
  4  12   5.766  18.000   1.396   0.942   0.897   0.006   0.897   0.007  0.280E-02  0.921E-03
  4  12   5.766  18.000   1.426   0.915   0.911   0.006   0.911   0.007  0.285E-02  0.938E-03
  4  12   5.766  18.000   1.456   0.890   0.938   0.006   0.938   0.007  0.290E-02  0.955E-03
  4  12   5.766  18.000   1.486   0.866   0.963   0.005   0.963   0.007  0.295E-02  0.973E-03
  4  12   5.766  18.000   1.516   0.843   0.978   0.005   0.978   0.007  0.301E-02  0.991E-03
  4  12   5.766  18.000   1.546   0.821   0.974   0.005   0.974   0.007  0.307E-02  0.101E-02
  4  12   5.766  18.000   1.576   0.800   0.985   0.005   0.985   0.007  0.312E-02  0.103E-02
  4  12   5.766  18.000   1.606   0.779   0.987   0.005   0.987   0.007  0.318E-02  0.105E-02
  4  12   5.766  18.000   1.636   0.759   1.000   0.007   1.000   0.007  0.324E-02  0.107E-02
  4  12   5.766  18.000   1.666   0.740   0.995   0.006   0.995   0.007  0.331E-02  0.109E-02
  4  12   5.766  18.000   1.696   0.722   0.985   0.004   0.985   0.007  0.337E-02  0.111E-02
  4  12   5.766  18.000   1.726   0.704   0.985   0.004   0.985   0.007  0.343E-02  0.113E-02
  4  12   5.766  18.000   1.756   0.687   0.993   0.004   0.993   0.007  0.350E-02  0.115E-02
  4  12   5.766  18.000   1.786   0.670   0.993   0.005   0.993   0.007  0.357E-02  0.117E-02
  4  12   5.766  18.000   1.816   0.654   0.988   0.006   0.988   0.007  0.364E-02  0.120E-02
  4  12   5.766  18.000   1.846   0.639   0.968   0.005   0.968   0.007  0.371E-02  0.122E-02
  4  12   5.766  18.000   1.876   0.624   0.974   0.005   0.974   0.007  0.378E-02  0.124E-02
  4  12   5.766  18.000   1.906   0.609   0.982   0.006   0.982   0.007  0.386E-02  0.127E-02
  4  12   5.766  18.000   1.936   0.595   0.967   0.004   0.967   0.007  0.394E-02  0.129E-02
  4  12   5.766  18.000   1.966   0.581   0.979   0.004   0.979   0.007  0.401E-02  0.132E-02
  4  12   5.766  18.000   1.996   0.568   0.991   0.005   0.991   0.007  0.410E-02  0.134E-02
  4  12   5.766  18.000   2.026   0.555   0.982   0.004   0.982   0.007  0.418E-02  0.137E-02
  4  12   5.766  18.000   2.056   0.543   0.979   0.004   0.979   0.007  0.426E-02  0.140E-02
  4  12   5.766  18.000   2.086   0.531   0.987   0.005   0.987   0.007  0.435E-02  0.143E-02
  4  12   5.766  18.000   2.116   0.519   0.985   0.004   0.985   0.007  0.444E-02  0.146E-02
  4  12   5.766  18.000   2.146   0.507   0.989   0.004   0.989   0.007  0.453E-02  0.149E-02
  4  12   5.766  18.000   2.176   0.496   0.991   0.004   0.991   0.007  0.463E-02  0.152E-02
  4  12   5.766  18.000   2.206   0.485   0.977   0.004   0.977   0.007  0.472E-02  0.155E-02
  4  12   5.766  18.000   2.236   0.475   0.986   0.004   0.986   0.007  0.482E-02  0.158E-02
  4  12   5.766  18.000   2.266   0.465   0.987   0.004   0.987   0.007  0.492E-02  0.161E-02
  4  12   5.766  18.000   2.296   0.455   0.995   0.004   0.995   0.007  0.503E-02  0.165E-02
  4  12   5.766  18.000   2.326   0.445   0.990   0.004   0.990   0.007  0.513E-02  0.168E-02
  4  12   5.766  18.000   2.356   0.435   0.988   0.007   0.988   0.007  0.524E-02  0.172E-02
  4  64   5.766  18.000   0.526   2.997   3.865   0.717   3.683   0.000  0.170E-02  0.562E-03
  4  64   5.766  18.000   0.556   2.819   3.870   0.537   3.688   0.000  0.172E-02  0.571E-03
  4  64   5.766  18.000   0.586   2.659   3.723   0.344   3.548   0.000  0.175E-02  0.580E-03
  4  64   5.766  18.000   0.616   2.515   2.604   0.154   2.481   0.000  0.178E-02  0.590E-03
  4  64   5.766  18.000   0.646   2.384   2.141   0.100   2.040   0.000  0.181E-02  0.600E-03
  4  64   5.766  18.000   0.676   2.265   2.002   0.063   1.908   0.000  0.184E-02  0.610E-03
  4  64   5.766  18.000   0.706   2.156   1.807   0.049   1.722   0.000  0.187E-02  0.620E-03
  4  64   5.766  18.000   0.736   2.056   1.664   0.040   1.586   0.000  0.190E-02  0.630E-03
  4  64   5.766  18.000   0.766   1.963   1.587   0.031   1.512   0.000  0.194E-02  0.640E-03
  4  64   5.766  18.000   0.796   1.878   1.515   0.019   1.443   0.000  0.197E-02  0.651E-03
  4  64   5.766  18.000   0.826   1.799   1.510   0.019   1.439   0.000  0.200E-02  0.662E-03
  4  64   5.766  18.000   0.856   1.725   1.491   0.016   1.421   0.000  0.204E-02  0.673E-03
  4  64   5.766  18.000   0.886   1.657   1.491   0.012   1.420   0.000  0.207E-02  0.685E-03
  4  64   5.766  18.000   0.946   1.533   1.414   0.009   1.347   0.000  0.214E-02  0.708E-03
  4  64   5.766  18.000   0.976   1.476   1.462   0.006   1.393   0.000  0.218E-02  0.720E-03
  4  64   5.766  18.000   1.006   1.423   1.407   0.007   1.341   0.000  0.222E-02  0.733E-03
  4  64   5.766  18.000   1.036   1.373   1.272   0.005   1.212   0.000  0.226E-02  0.745E-03
  4  64   5.766  18.000   1.066   1.326   1.361   0.024   1.297   0.000  0.230E-02  0.758E-03
  4  64   5.766  18.000   1.096   1.282   1.186   0.004   1.130   0.000  0.234E-02  0.772E-03
  4  64   5.766  18.000   1.126   1.240   1.188   0.003   1.132   0.000  0.238E-02  0.785E-03
  4  64   5.766  18.000   1.156   1.200   1.067   0.016   1.016   0.000  0.242E-02  0.799E-03
  4  64   5.766  18.000   1.186   1.162   0.998   0.013   0.951   0.000  0.246E-02  0.813E-03
  4  64   5.766  18.000   1.216   1.126   0.939   0.013   0.894   0.000  0.251E-02  0.828E-03
  4  64   5.766  18.000   1.246   1.091   0.908   0.009   0.865   0.000  0.255E-02  0.842E-03
  4  64   5.766  18.000   1.276   1.058   0.894   0.008   0.852   0.000  0.260E-02  0.857E-03
  4  64   5.766  18.000   1.306   1.027   0.832   0.008   0.792   0.000  0.265E-02  0.873E-03
  4  64   5.766  18.000   1.336   0.997   0.825   0.007   0.786   0.000  0.270E-02  0.889E-03
  4  64   5.766  18.000   1.366   0.969   0.840   0.006   0.800   0.000  0.275E-02  0.905E-03
  4  64   5.766  18.000   1.396   0.942   0.855   0.007   0.815   0.000  0.280E-02  0.921E-03
  4  64   5.766  18.000   1.426   0.915   0.872   0.006   0.831   0.000  0.285E-02  0.938E-03
  4  64   5.766  18.000   1.456   0.890   0.920   0.006   0.876   0.000  0.290E-02  0.955E-03
  4  64   5.766  18.000   1.486   0.866   0.936   0.005   0.892   0.000  0.295E-02  0.973E-03
  4  64   5.766  18.000   1.516   0.843   0.964   0.006   0.918   0.000  0.301E-02  0.991E-03
  4  64   5.766  18.000   1.546   0.821   0.959   0.006   0.913   0.000  0.307E-02  0.101E-02
  4  64   5.766  18.000   1.576   0.800   0.976   0.005   0.929   0.000  0.312E-02  0.103E-02
  4  64   5.766  18.000   1.606   0.779   0.996   0.005   0.949   0.000  0.318E-02  0.105E-02
  4  64   5.766  18.000   1.636   0.759   1.005   0.007   0.958   0.000  0.324E-02  0.107E-02
  4  64   5.766  18.000   1.666   0.740   1.010   0.007   0.962   0.000  0.331E-02  0.109E-02
  4  64   5.766  18.000   1.696   0.722   1.000   0.005   0.953   0.000  0.337E-02  0.111E-02
  4  64   5.766  18.000   1.726   0.704   1.003   0.004   0.955   0.000  0.343E-02  0.113E-02
  4  64   5.766  18.000   1.756   0.687   1.015   0.004   0.967   0.000  0.350E-02  0.115E-02
  4  64   5.766  18.000   1.786   0.670   1.021   0.006   0.973   0.000  0.357E-02  0.117E-02
  4  64   5.766  18.000   1.816   0.654   1.002   0.008   0.955   0.000  0.364E-02  0.120E-02
  4  64   5.766  18.000   1.846   0.639   0.990   0.007   0.943   0.000  0.371E-02  0.122E-02
  4  64   5.766  18.000   1.876   0.624   0.992   0.007   0.945   0.000  0.378E-02  0.124E-02
  4  64   5.766  18.000   1.906   0.609   1.007   0.008   0.960   0.000  0.386E-02  0.127E-02
  4  64   5.766  18.000   1.936   0.595   0.996   0.006   0.948   0.000  0.394E-02  0.129E-02
  4  64   5.766  18.000   1.966   0.581   1.012   0.006   0.964   0.000  0.401E-02  0.132E-02
  4  64   5.766  18.000   1.996   0.568   1.028   0.007   0.979   0.000  0.410E-02  0.134E-02
  4  64   5.766  18.000   2.026   0.555   1.014   0.005   0.966   0.000  0.418E-02  0.137E-02
  4  64   5.766  18.000   2.056   0.543   1.012   0.005   0.964   0.000  0.426E-02  0.140E-02
  4  64   5.766  18.000   2.086   0.531   1.009   0.006   0.962   0.000  0.435E-02  0.143E-02
  4  64   5.766  18.000   2.116   0.519   1.005   0.006   0.957   0.000  0.444E-02  0.146E-02
  4  64   5.766  18.000   2.146   0.507   1.023   0.005   0.975   0.000  0.453E-02  0.149E-02
  4  64   5.766  18.000   2.176   0.496   1.019   0.006   0.971   0.000  0.463E-02  0.152E-02
  4  64   5.766  18.000   2.206   0.485   1.013   0.005   0.965   0.000  0.472E-02  0.155E-02
  4  64   5.766  18.000   2.236   0.475   1.023   0.006   0.975   0.000  0.482E-02  0.158E-02
  4  64   5.766  18.000   2.266   0.465   1.016   0.006   0.968   0.000  0.492E-02  0.161E-02
  4  64   5.766  18.000   2.296   0.455   1.019   0.006   0.971   0.000  0.503E-02  0.165E-02
  4  64   5.766  18.000   2.326   0.445   1.035   0.005   0.985   0.000  0.513E-02  0.168E-02
  4  64   5.766  18.000   2.356   0.435   1.025   0.009   0.976   0.000  0.524E-02  0.172E-02
